route_id,policy,budget,delta,stop_id,latitude,longitude,baseline_position,final_position,baseline_completion_minutes,final_completion_minutes,threshold_minutes,predicted_risk,actionability,relocated
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.2,0.05,CA,47.501641,-122.339689,1,2,21.45,24.42,240.0,0.5469,0.0,True
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.2,0.05,ED,47.501493,-122.340567,2,1,24.17,22.41,240.0,0.5457,33.11,True
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.2,0.05,AM,47.502359,-122.339685,3,3,26.58,26.15,240.0,0.5237,0.0,False
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.2,0.05,JU,47.502859,-122.339665,4,4,27.24,26.81,240.0,0.5452,0.0,False
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.2,0.05,KV,47.50369,-122.339853,5,5,28.61,28.18,240.0,0.5457,0.0,False
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.2,0.05,XZ,47.504286,-122.340877,6,6,30.57,30.14,240.0,0.5391,0.0,False
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.2,0.05,YY,47.504361,-122.341116,7,7,32.65,32.22,240.0,0.5442,0.0,False
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.2,0.05,KS,47.505287,-122.341142,8,8,33.34,32.91,240.0,0.5438,0.0,False
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.2,0.05,VU,47.505386,-122.33976,9,9,34.69,34.26,240.0,0.5481,0.0,False
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.2,0.05,JH,47.506651,-122.34162,10,10,38.48,38.05,240.0,0.5573,0.0,False
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.2,0.05,AH,47.507399,-122.34161,11,11,40.18,39.75,240.0,0.5336,0.0,False
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.2,0.05,RL,47.50814,-122.340768,12,12,42.46,42.03,240.0,0.5334,0.0,False
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.2,0.05,CC,47.507778,-122.33919,13,13,43.62,43.19,240.0,0.5446,46.2,False
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.2,0.05,JI,47.509546,-122.340717,14,15,46.08,47.0,240.0,0.5725,24.64,True
RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.2,0.05,EF,47.510792,-122.339338,15,14,48.03,44.68,240.0,0.5459,68.66,True
