route_id,baseline,delta,budget,policy,base_tt,base_nl,base_dist,delta_tt,delta_nl,tt_red_pct,dist_inc_pct,accepted_moves,is_feasible
RouteID_025_20180709,ClarkeWright,0.05,0.2,RA,154.60666666666668,3,22.51273537207003,5.323333333333352,1,3.4431460480358873,0.21881821132083007,1,True
RouteID_025_20180709,ClarkeWright,0.05,0.2,AB,154.60666666666668,3,22.51273537207003,5.323333333333352,1,3.4431460480358873,0.21881821132083007,1,True
RouteID_025_20180709,ClarkeWright,0.05,0.2,RB,154.60666666666668,3,22.51273537207003,5.323333333333352,1,3.4431460480358873,0.21881821132083007,1,True
RouteID_025_20180709,ClarkeWright,0.05,0.2,Slack,154.60666666666668,3,22.51273537207003,5.323333333333352,1,3.4431460480358873,0.21881821132083007,1,True
RouteID_026_20180709,ClarkeWright,0.05,0.2,RA,161.18166666666667,3,28.39098591311426,156.65,2,97.18847263439804,-5.8191811498398724,4,True
RouteID_026_20180709,ClarkeWright,0.05,0.2,AB,161.18166666666667,3,28.39098591311426,157.29500000000002,2,97.58864221530573,-6.213877453483216,4,True
RouteID_026_20180709,ClarkeWright,0.05,0.2,RB,161.18166666666667,3,28.39098591311426,71.23166666666667,1,44.19340495713946,1.768758239669222,1,True
RouteID_026_20180709,ClarkeWright,0.05,0.2,Slack,161.18166666666667,3,28.39098591311426,161.18166666666667,3,100.0,-5.485905145911465,4,True
RouteID_027_20180709,ClarkeWright,0.05,0.2,RA,256.50666666666666,4,27.72392148243273,256.50666666666666,4,100.0,-6.754375152801376,4,True
RouteID_027_20180709,ClarkeWright,0.05,0.2,AB,256.50666666666666,4,27.72392148243273,256.50666666666666,4,100.0,-6.754375152801376,4,True
RouteID_027_20180709,ClarkeWright,0.05,0.2,RB,256.50666666666666,4,27.72392148243273,193.54666666666668,2,75.45482898430191,-1.8582282311653782,2,True
RouteID_027_20180709,ClarkeWright,0.05,0.2,Slack,256.50666666666666,4,27.72392148243273,256.50666666666666,4,100.0,-6.754375152801376,4,True
RouteID_028_20180710,ClarkeWright,0.05,0.2,RA,387.8566666666667,8,43.17863407377185,50.19166666666666,-2,12.940777091193482,-1.2196237413706965,3,True
RouteID_028_20180710,ClarkeWright,0.05,0.2,AB,387.8566666666667,8,43.17863407377185,60.44999999999999,0,15.585654494357879,-1.441118689879353,2,True
RouteID_028_20180710,ClarkeWright,0.05,0.2,RB,387.8566666666667,8,43.17863407377185,9.906666666666638,0,2.55420816968467,0.8692672637646781,2,True
RouteID_028_20180710,ClarkeWright,0.05,0.2,Slack,387.8566666666667,8,43.17863407377185,41.57833333333332,-2,10.720025438950811,-2.0888910051353746,1,True
RouteID_029_20180710,ClarkeWright,0.05,0.2,RA,166.2733333333333,3,30.378371863209715,166.2733333333333,3,100.0,2.259993795076173,3,True
RouteID_029_20180710,ClarkeWright,0.05,0.2,AB,166.2733333333333,3,30.378371863209715,166.2733333333333,3,100.0,2.259993795076173,3,True
RouteID_029_20180710,ClarkeWright,0.05,0.2,RB,166.2733333333333,3,30.378371863209715,108.02833333333331,2,64.97032997874985,1.965866255027181,2,True
RouteID_029_20180710,ClarkeWright,0.05,0.2,Slack,166.2733333333333,3,30.378371863209715,166.2733333333333,3,100.0,2.259993795076173,3,True
RouteID_030_20180710,ClarkeWright,0.05,0.2,RA,55.13166666666667,1,31.037174975254793,0.01833333333333087,0,0.03325372592883256,-0.2227398429236573,1,True
RouteID_030_20180710,ClarkeWright,0.05,0.2,AB,55.13166666666667,1,31.037174975254793,0.01833333333333087,0,0.03325372592883256,-0.2227398429236573,1,True
RouteID_030_20180710,ClarkeWright,0.05,0.2,RB,55.13166666666667,1,31.037174975254793,0.0,0,0.0,0.0,0,True
RouteID_030_20180710,ClarkeWright,0.05,0.2,Slack,55.13166666666667,1,31.037174975254793,0.0,0,0.0,0.0,0,True
