threshold_H,route_id,policy,delta,budget,base_tt,base_nl,delta_tt,delta_nl,tt_red_pct,dist_inc_pct,accepted_moves
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.02,0.1,13084.141666666666,97,806.7400000000016,1,6.165784661711996,1.9203685837462352,13
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,AB,0.02,0.1,13084.141666666666,97,994.1999999999953,-1,7.598511429548584,1.8635681182781145,11
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RB,0.02,0.1,13084.141666666666,97,88.77000000000226,1,0.6784548980095032,1.9785152280081018,5
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Slack,0.02,0.1,13084.141666666666,97,221.21666666666715,0,1.6907235667605287,1.913200095912901,9
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Deadline,0.02,0.1,13084.141666666666,97,56.14833333333445,1,0.42913272237321226,1.9964478500661318,3
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Random,0.02,0.1,13084.141666666666,97,259.06166666667013,0,1.979966842812923,1.840131706510674,3
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.02,0.2,13084.141666666666,97,923.7533333333304,1,7.060098834657963,1.9434258392441826,18
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,AB,0.02,0.2,13084.141666666666,97,1127.0083333333387,0,8.613544258730553,1.9888785234943422,16
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RB,0.02,0.2,13084.141666666666,97,113.3899999999976,1,0.8666216163714543,1.496421190085057,6
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Slack,0.02,0.2,13084.141666666666,97,381.6083333333281,0,2.91657139654425,1.9648942897660737,11
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Deadline,0.02,0.2,13084.141666666666,97,56.14833333333445,1,0.42913272237321226,1.9964478500661318,3
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Random,0.02,0.2,13084.141666666666,97,594.2500000000036,-1,4.541757611153988,1.1014796419247785,5
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RA,0.05,0.1,13084.141666666666,97,1138.1349999999966,1,8.698583590695327,3.911120202202655,15
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,AB,0.05,0.1,13084.141666666666,97,1080.2733333333272,-1,8.25635613595843,4.965932311605615,12
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,RB,0.05,0.1,13084.141666666666,97,88.77000000000226,1,0.6784548980095032,1.9785152280081018,5
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Slack,0.05,0.1,13084.141666666666,97,581.7983333333341,0,4.446591516320335,0.5778135005153394,12
3.0,RouteID_693060a6-88bb-4324-9e9c-925d5240263c,Deadline,0.05,0.1,13084.141666666666,97,56.405000000000655,1,0.43109438461445876,2.210562564319162,4
